alfabetizado,actualmente_estudia,nivel_educativo_alcanzado,nivel_educativo_aprobado,nivel_educativo_matriculado,nivel_educativo_en_curso,recibe_plantel_edu_alimentos,pensiones_modalidad_presencial,pensiones_modalidad_virtual,pensiones_modalidad_mixta,comunicacion_maestros_sp,educacion_sk
Sí,Sí,,,Tecnológico,2.0,Sí,1.0,2.0,2.0,,235
Sí,Sí,,,Media (10 a 13),12.0,Sí,1.0,2.0,2.0,Sí,236
Sí,Sí,,,Postgrado,4.0,No,2.0,2.0,1.0,,237
No,Sí,,,Preescolar (1 a 3),2.0,No,1.0,2.0,2.0,No,238
Sí,Sí,,,Tecnológico,1.0,Sí,1.0,2.0,2.0,,239
Sí,Sí,,,Media (10 a 13),10.0,Sí,2.0,2.0,1.0,Sí,240
Sí,Sí,,,Media (10 a 13),11.0,,2.0,2.0,2.0,No,241
Sí,Sí,,,Universitario,7.0,No,2.0,2.0,1.0,,242
Sí,Sí,,,Técnico,3.0,No,2.0,2.0,1.0,,243
No,Sí,,,Básica Primaria (1 a 5),4.0,Sí,1.0,2.0,2.0,No,244
Sí,Sí,,,Postgrado,3.0,,2.0,1.0,2.0,,245
Sí,Sí,,,Básica secundaria (6 a 9),8.0,,2.0,1.0,2.0,No,246
Sí,Sí,,,Media (10 a 13),13.0,No,1.0,2.0,2.0,No,247
Sí,Sí,,,Universitario,1.0,Sí,2.0,2.0,1.0,,248
Sí,No,Postgrado sin título,Básica secundaria (6º--9º),,,,,,,,249
Sí,No,Postgrado sin título,Básica Primaria (1º - 5º),,,,,,,,250
Sí,Sí,,,Básica secundaria (6 a 9),9.0,,2.0,2.0,2.0,Sí,251
Sí,Sí,,,Básica Primaria (1 a 5),1.0,,2.0,1.0,2.0,Sí,252
Sí,Sí,,,Básica secundaria (6 a 9),7.0,No,2.0,2.0,1.0,Sí,253
Sí,Sí,,,Postgrado,3.0,No,1.0,2.0,2.0,,254
Sí,Sí,,,Básica Primaria (1 a 5),5.0,,2.0,2.0,2.0,No,255
No,Sí,,,Preescolar (1 a 3),3.0,,2.0,2.0,2.0,No,256
Sí,Sí,,,Básica secundaria (6 a 9),9.0,,2.0,2.0,2.0,No,257
Sí,Sí,,,Básica secundaria (6 a 9),6.0,,2.0,2.0,2.0,No,258
Sí,Sí,,,Básica Primaria (1 a 5),1.0,,2.0,2.0,2.0,No,259
Sí,Sí,,,Básica Primaria (1 a 5),1.0,,2.0,2.0,2.0,Sí,260
Sí,Sí,,,Básica secundaria (6 a 9),6.0,,2.0,1.0,2.0,No,261
Sí,Sí,,,Básica Primaria (1 a 5),5.0,Sí,2.0,2.0,1.0,No,262
Sí,Sí,,,Técnico,2.0,Sí,2.0,2.0,1.0,,263
Sí,Sí,,,Media (10 a 13),13.0,,2.0,1.0,2.0,Sí,264
Sí,Sí,,,Preescolar (1 a 3),1.0,,2.0,2.0,2.0,Sí,265
Sí,Sí,,,Básica secundaria (6 a 9),9.0,No,2.0,2.0,1.0,Sí,266
Sí,Sí,,,Preescolar (1 a 3),1.0,No,2.0,2.0,1.0,No,267
Sí,Sí,,,Media (10 a 13),10.0,,2.0,2.0,2.0,No,268
Sí,Sí,,,Básica secundaria (6 a 9),7.0,No,2.0,2.0,1.0,No,269
Sí,Sí,,,Media (10 a 13),11.0,,2.0,2.0,2.0,Sí,270
Sí,Sí,,,Postgrado,5.0,No,2.0,2.0,1.0,,271
Sí,Sí,,,Básica Primaria (1 a 5),5.0,,2.0,1.0,2.0,Sí,272
Sí,Sí,,,Básica secundaria (6 a 9),6.0,Sí,2.0,2.0,1.0,Sí,273
Sí,Sí,,,Básica Primaria (1 a 5),5.0,,2.0,2.0,2.0,Sí,274
Sí,Sí,,,Básica Primaria (1 a 5),2.0,,2.0,1.0,2.0,No,275
Sí,Sí,,,Básica Primaria (1 a 5),5.0,No,2.0,2.0,1.0,Sí,276
Sí,Sí,,,Media (10 a 13),13.0,Sí,1.0,2.0,2.0,No,277
Sí,Sí,,,Básica secundaria (6 a 9),6.0,No,2.0,2.0,1.0,Sí,278
Sí,Sí,,,Media (10 a 13),10.0,No,2.0,2.0,1.0,No,279
Sí,Sí,,,Postgrado,1.0,Sí,1.0,2.0,2.0,,280
Sí,Sí,,,Básica Primaria (1 a 5),2.0,,2.0,2.0,2.0,Sí,281
Sí,Sí,,,Media (10 a 13),13.0,No,2.0,2.0,1.0,Sí,282
No,Sí,,,Básica Primaria (1 a 5),4.0,No,2.0,2.0,1.0,No,283
Sí,Sí,,,Básica secundaria (6 a 9),8.0,,2.0,2.0,2.0,Sí,284
Sí,Sí,,,Postgrado,3.0,No,2.0,2.0,1.0,,285
Sí,Sí,,,Básica Primaria (1 a 5),3.0,No,2.0,2.0,1.0,No,286
Sí,Sí,,,Técnico,1.0,Sí,2.0,2.0,1.0,,287
Sí,Sí,,,Técnico,3.0,,2.0,1.0,2.0,,288
No,Sí,,,Básica Primaria (1 a 5),2.0,,2.0,1.0,2.0,Sí,289
Sí,Sí,,,Media (10 a 13),11.0,Sí,2.0,2.0,1.0,No,290
Sí,Sí,,,Básica Primaria (1 a 5),4.0,No,2.0,2.0,1.0,No,291
Sí,Sí,,,Básica Primaria (1 a 5),2.0,,2.0,1.0,2.0,Sí,292
Sí,Sí,,,Básica secundaria (6 a 9),7.0,Sí,2.0,2.0,1.0,Sí,293
Sí,Sí,,,Básica Primaria (1 a 5),2.0,No,2.0,2.0,1.0,Sí,294
No,Sí,,,Preescolar (1 a 3),1.0,,2.0,1.0,2.0,No,295
No,Sí,,,Preescolar (1 a 3),1.0,,2.0,1.0,2.0,Sí,296
Sí,Sí,,,Básica Primaria (1 a 5),2.0,No,2.0,2.0,1.0,No,297
Sí,Sí,,,Básica Primaria (1 a 5),2.0,Sí,2.0,2.0,1.0,Sí,298
Sí,Sí,,,Universitario,5.0,Sí,2.0,2.0,1.0,,299
Sí,Sí,,,Media (10 a 13),13.0,,2.0,1.0,2.0,No,300
Sí,Sí,,,Tecnológico,2.0,Sí,2.0,2.0,1.0,,301
Sí,Sí,,,Básica secundaria (6 a 9),6.0,,2.0,2.0,2.0,Sí,302
Sí,Sí,,,Postgrado,2.0,Sí,2.0,2.0,1.0,,303
Sí,Sí,,,Básica Primaria (1 a 5),3.0,,2.0,2.0,2.0,Sí,304
No,Sí,,,Básica Primaria (1 a 5),1.0,,2.0,1.0,2.0,Sí,305
Sí,Sí,,,Tecnológico,3.0,Sí,1.0,2.0,2.0,,306
Sí,Sí,,,Preescolar (1 a 3),3.0,Sí,2.0,2.0,1.0,Sí,307
No,Sí,,,Preescolar (1 a 3),2.0,,2.0,1.0,2.0,Sí,308
No,Sí,,,Preescolar (1 a 3),1.0,Sí,2.0,2.0,1.0,Sí,309
Sí,Sí,,,Universitario,3.0,Sí,2.0,2.0,1.0,,310
Sí,Sí,,,Básica Primaria (1 a 5),1.0,Sí,2.0,2.0,1.0,Sí,311
Sí,Sí,,,Preescolar (1 a 3),1.0,,2.0,1.0,2.0,Sí,312
Sí,Sí,,,Técnico,2.0,,2.0,2.0,2.0,,313
Sí,Sí,,,Básica Primaria (1 a 5),3.0,No,2.0,2.0,1.0,Sí,314
Sí,Sí,,,Tecnológico,1.0,Sí,2.0,2.0,1.0,,315
Sí,Sí,,,Media (10 a 13),12.0,Sí,1.0,2.0,2.0,No,316
Sí,Sí,,,Básica Primaria (1 a 5),5.0,,2.0,1.0,2.0,No,317
Sí,Sí,,,Universitario,4.0,,2.0,2.0,2.0,,318
Sí,Sí,,,Básica Primaria (1 a 5),1.0,No,2.0,2.0,1.0,No,319
Sí,Sí,,,Técnico,1.0,,2.0,2.0,2.0,,320
Sí,Sí,,,Técnico,3.0,Sí,1.0,2.0,2.0,,321
No,Sí,,,Preescolar (1 a 3),1.0,Sí,2.0,2.0,1.0,No,322
Sí,Sí,,,Básica Primaria (1 a 5),1.0,No,2.0,2.0,1.0,Sí,323
