actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,PREPARACION Y VENTA DE PAN,235
Trabajando,,,,,No,RECOLECTAR Y VENDER MATERIAL RECICLABLE,236
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS Y ARREGLO DE CERCOS EN FINCAS GANADERAS,237
Trabajando,,,,,Sí,CONDUCTOR DE EMPRESA DE ALIMENTOS,238
Trabajando,,,,,Sí,VENTA DE BIENES DE CONSUMO EN AUTOSERVICIO,239
Trabajando,,,,,No,SERVICIO DE LAVADO DE ROPA A MANO A DIFERENTES HOGARES,240
Trabajando,,,,,No,SERVICIO DE DESYERBE A LOTES Y FINCAS CON MACHETES,241
Oficios del hogar,No,No,No,,,None,242
Trabajando,,,,,No,PREPARAR  BUTIFARRAS DE CARNE,243
Trabajando,,,,,No,LAVAR PLACHAR Y HACER ASEO A DIFERENTES HOGARES,244
Oficios del hogar,Sí,,,,No,REALIZAR ARREGLOS DE PRENDAS DE VESTIR,245
Trabajando,,,,,Sí,EXPENDIO A LA MESA DE COMIDAS PREPARADAS,246
Trabajando,,,,,No,VENTA DE MINUTOS CIGARRILLOS Y DULCES EN UN PUESTO ESTACIONARIO EN UN ANDEN,247
Trabajando,,,,,No,VENTA DE MINUTOS Y DULCES EN UNA CARRETA SOBRE UN ANDEN,248
Trabajando,,,,,No,SERVICIO DE SACRIFICIO Y DESPLUME DE AVES DE CORRAL,249
Trabajando,,,,,Sí,CAPTACION Y DISTRIBUCION DE AGUA POTABLE,250
Oficios del hogar,Sí,,,,No,PRODUCCION Y VENTA DE LECHE Y PLATANOS,251
Oficios del hogar,Sí,,,,No,VENDER PRODUCTOS DE REVISTA POR CATALOGO,252
Trabajando,,,,,Sí,PROCEDIMIENTOS ODONTOLOGICOS,253
Trabajando,,,,,Sí,PORTERIA Y SEGURIDAD,254
Trabajando,,,,,No,SERVICIO LATONERIA PINTURA  VEHICULO,255
Incapacitado permanentemente para trabajar,,,,,Sí,None,256
Trabajando,,,,,No,VENTA AL POR MENOR DE MATERIAL RECICLABLE,257
Trabajando,,,,,No,SERVICIO DE ASEO  A DIFERENTES HOGARES,258
Trabajando,,,,,No,PROTESIS DENTALES,259
Trabajando,,,,,No,PROTESIS DENTAL,260
Trabajando,,,,,No,VENTA DE PRODUCTOS AL POR MENOR EN NEGOCIO PROPIO,261
Trabajando,,,,,Sí,MANEJAR LA CONTABILIDAD DE CUALQUIER PERSONA NATURAL O JURUDICA,262
Trabajando,,,,,Sí,LA CONSTRUCION,263
Trabajando,,,,,No,COMERCIALIZADORA DE ROPA,264
Trabajando,,,,,No,ACTIVIDADES DE CONSTRUCCION Y OBRA BLANCA,265
Trabajando,,,,,No,ARREGLAR LLANTAS DE CARROS Y MOTOS,266
Trabajando,,,,,No,CONSTRUCCION DE OBRAS CIVILES RESIDENCIALES,267
Trabajando,,,,,No,PRODUCCION DE CAFE,268
Trabajando,,,,,No,PRODUCCION DE LECHE,269
Buscando trabajo,No,No,No,No,No,None,270
Trabajando,,,,,Sí,EMPRESA DE ARREGLOS INDUSTRIALES,271
Trabajando,,,,,No,VENTA DE VIVERES  Y BEBIDAS,272
Buscando trabajo,Sí,,,,No,VENDER CAFE POR LAS CALLES,273
Trabajando,,,,,No,VENTA DE VIVERES,274
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION DE CASAS,275
Trabajando,,,,,Sí,SERVICIO DE TRANSPORTE INTERMUNICIPAL,276
Trabajando,,,,,No,CONSTRUIR Y REPARAR OBJETOS MADERA MESAS SILLAS REPISAS,277
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE PASAJEROS EN MOTO TAXI A NIVEL URBANO,278
Trabajando,,,,,No,VENTAS INMOBILIARIAS,279
Trabajando,,,,,No,SIEMBRA DE CULTIVOS DE PANCOGER  COMO YUCA Y PLATANO,280
Trabajando,,,,,Sí,SERVICIOS RECREATIVOS DE DIVERSION Y ESPARCIMIENTO,281
Trabajando,,,,,No,REPARACION DE ELECTRODOMESTICOS DE LOS HOGARES,282
Trabajando,,,,,Sí,VENTA DE ALIMENTOS,283
Trabajando,,,,,No,VENTA AL POR MENOR DE MANILLAS ARTESANALES,284
Trabajando,,,,,No,MANTENIMIENTO DE JARDINES Y ARREGLOS  CASUALES DE VIVIENDA,285
Trabajando,,,,,Sí,COMERCIALIZADORA E IMPORTACIONES,286
Trabajando,,,,,No,RECICLAR  BOTELLAS PLASTICAS LATAS DE CERVEZAS,287
Trabajando,,,,,Sí,FABRICACION DE BEBIDAS REFRESCANTES,288
Trabajando,,,,,Sí,SERVICIO DE GENERAR OPORTUNIDADES DE BRECHAS SOCIALES,289
Trabajando,,,,,No,MARKETING DIGITAL,290
Trabajando,,,,,Sí,TRABAJA INDEPENDIENTE COMO ALBANIL EN HOGARES,291
Trabajando,,,,,No,PRODUCCION AGRICOLA DE YUCA Y PLATANO,292
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE CULTIVOS DE PLATANO Y YUCA,293
Trabajando,,,,,Sí,COFECCIONAR ROPA PARA DAMA,294
Trabajando,,,,,No,SERVICIO DE REPARACION DE PRENDAS DE VESTIR,295
Trabajando,,,,,Sí,VENTA AL POR MENOR DE ARTICULOS PARA EL HOGAR EN ALMACENES DE CADENA,296
Estudiando,No,No,No,Sí,No,None,297
Otra actividad ¿cuál?,Sí,,,,Ya es pensionado,ASESORIAS EN CASOS PENALISTAS DE DIVORCIO LIBERACION DE PRESOS PROCESOS DE SUCESIONES DE CASAS,298
Trabajando,,,,,No,SERVICIOS AGRICOLAS A DIFERENTES CULTUVOS,299
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS DE SALUD,300
Trabajando,,,,,Ya es pensionado,SERVICIO DE EDUCACION PREESCOLAR PRIMARIA SECUNDARIA Y MEDIA,301
Trabajando,,,,,No,SERVICIO DE EDUCACION PREESCOLAR PRIMARIA SECUNDARIA Y MEDIA,302
Trabajando,,,,,Sí,VENTA DE ROPA PARA MUJER,303
Trabajando,,,,,Sí,CONFECCION DE TELAS DE ROPA PARA DAMA,304
Estudiando,Sí,,,,No,PRODUCCION DE CANA DE AZUCAR,305
Oficios del hogar,No,Sí,,,No,SERVICIO DE CLASES DIRIGIDAS,306
Trabajando,,,,,Sí,FABRICACION Y MATENIMIENTO DE BUQUES NAVALES,307
Oficios del hogar,No,Sí,,,No,FABRICACION DE REJAS Y ESTRUCTURAS METALICAS,308
Trabajando,,,,,No,TRANSPORTE TERRESTRE DE  PASAJEROS EN VEHICULO PARTICULAR,309
Trabajando,,,,,Sí,PRODUCIR TRANSFORMAR Y COMERCIALIZAR  PRODUCTOS A BASE DE PLANTAS MEDICINALES,310
Trabajando,,,,,Sí,SERVICIO DE EDUCACION PREESCOLAR PRIMARIA SECUNDARIA Y MEDIA,311
Trabajando,,,,,No,LLEVAR CUENTAS CONTABLES RELIZAR AUDITORIAS DELARACIONES DE RENTA,312
Trabajando,,,,,Sí,GESTION AMBIENTAL DE LOS RECURSOS NATURALES,313
Trabajando,,,,,No,CRIA REPRODUCCION Y ENGORDE DE GANADO PORCINO,314
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE CULTIVOS DE PLATANO Y PINA,315
Trabajando,,,,,No,ENCARGADO DE COMUNICAR LOS SERVICIOS PARA CAMPANA POLITICA,316
Trabajando,,,,,No,SERVICIO INSTALACION DE TUBERIAS DE AGUAS NEGRAS,317
Trabajando,,,,,No,COMERCIO DE ARTICULOS DE FERTETERIA AL POR MENOR,318
Trabajando,,,,,No,VENDER Y COLECCIONAR CDS Y ACETATOS ANTIGUOS DE MUSICA POP Y ROCK,319
