actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,Sí,SERVICIOS ESPECIALIZADOS EN GESTION Y PROCESOS DE NEGOCIOS,59784
Trabajando,,,,,Ya es pensionado,SERVICIO DE TRANSPORTE INTERMUNICIPAL DE CARGA LIVIANA,59785
Trabajando,,,,,No,HACER MANTENIMIENTO HIDROELECTRICO,59786
Oficios del hogar,Sí,,,,Ya es pensionado,PREPARACION DE POSTRES,59787
Trabajando,,,,,Sí,FINCA AVICOLA,59788
Trabajando,,,,,No,FINCA AVICOLA,59789
Buscando trabajo,No,No,Sí,,No,FINCA AGRICOLA,59790
Trabajando,,,,,No,COMPRA Y VENTA DE PRODUCTOS DE GANODERMA O GANO EXCEL,59791
Trabajando,,,,,Sí,SERVICIO DE ASEO GENERAL EN EL HOSPITAL,59792
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS DE EDUCACION PUBLICA,59793
Trabajando,,,,,No,VENTA DE LECHE PAPA Y MAIZ,59794
Trabajando,,,,,Sí,EXTRACCION VENTA Y MANIPULACION DE HULLA Y CARBON,59795
Trabajando,,,,,Sí,VENTA Y EXTRACCION DE HULLA Y CARBON,59796
Trabajando,,,,,No,RECOLECCION Y VENTA DE LECHE AL POR MENOR,59797
Trabajando,,,,,Sí,VENTA EXTRACCION DE HULLA CARBON,59798
Trabajando,,,,,No,SERVICIO DE MANO DE OBRA EN COGER CAFE EN DIFERENTES FINCAS,59799
Trabajando,,,,,No,VENTA AL POR MENOR DE MINUTOS Y RECARGAS,59800
Trabajando,,,,,Sí,DISTRIBUIDORES DE REPUESTOS PARA VEHICULOS Y MOTOS,59801
Oficios del hogar,Sí,,,,No,VENTA ARTICULOS COMESTIBLES Y ALIMENTOS,59802
Trabajando,,,,,No,SERVICIO DE FUMIGAR LOTES DE PASTO PARA GANADERIA,59803
Trabajando,,,,,No,SERVICIO MANO DE OBRA EN ADECUAR POTREROS PARA ENGORDE DE GANADO VACUNO,59804
Trabajando,,,,,No,COMPRA VENTA Y REPARACION DE ACCESORIOS Y REPUESTOS PARA CELULARES,59805
Trabajando,,,,,No,VENTA AL POR MENOR DE PRODUCTOS LACTEOS Y SUS DERIVADOS LECHE YOGURT,59806
Trabajando,,,,,No,REALIZA PISOS MUROS REVOQUES AYUDA A ELABORAR CIELORRASOS,59807
Oficios del hogar,Sí,,,,No,ARREGLO DE ROPA SASTRE,59808
Trabajando,,,,,No,REALIZAR ACTIVIDADES DE CAMPO AGRICULTURA Y LABRANZA EN CULTIVOS DE CAFE Y CITRICOS,59809
Trabajando,,,,,Sí,REALIZAR COSTURA SASTRE,59810
Trabajando,,,,,Sí,FABRICACION DE JUGUETERIA,59811
Trabajando,,,,,Sí,MANTENIMIENTO Y REPARACION EN MAQUINARIA Y EQUIPO PESADO,59812
Trabajando,,,,,No,RECOGER CAFE DE DIFERENTES FINCAS,59813
Trabajando,,,,,No,SERVICIO EN LIMPIA DE CULTIVO DE CAFE,59814
Trabajando,,,,,No,EMBOLSA  DESOJA Y ABONA PLATANO,59815
Trabajando,,,,,Sí,VENTA DE VIVERES CARNES,59816
Oficios del hogar,Sí,,,,No,SERVICIO VENTA DE JUGOS Y EMPANADAS,59817
Trabajando,,,,,No,CORTE Y EXTRACCION DE GUADUA,59818
Trabajando,,,,,Sí,FRITURA DE PAPAS TUBERCULOS,59819
Trabajando,,,,,Sí,GUARDAS DE SEGURIDAD Y CONSULTORIA ADMINISTRACION DEL RIESGO EN SU NEGOCIO,59820
Trabajando,,,,,No,FUMIGACION DE CITRICOS,59821
Trabajando,,,,,Sí,ASESORIA Y DEFENSA LEGAL,59822
Trabajando,,,,,No,ACTIVIDAD DE APOYO A LA AGRICULTURA EN LA SIEMBRA Y RECOLECCION DE PLATANO MAIZ Y YUCA,59823
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA EN SIEMBRA Y RECOLECCION DE PLATANO CACAO MAIZ,59824
Oficios del hogar,Sí,,,,No,PREPARAR ALIMENTOS Y SERVICIO DE ASEO A OTRAS VIVIENDAS,59825
Trabajando,,,,,Sí,VENTA DE SEGUROS Y POLIZAS,59826
Trabajando,,,,,No,SIEMBRA Y RECOLECCION DE CAFE PLATANO YUCA,59827
Trabajando,,,,,No,FABRICA DE ROPA DEPORTIVA AL POR MENOR  PARA DAMA CABALLEROS Y NINOS,59828
Trabajando,,,,,No,SERVICIO DOMESTICO EN CASAS DE FAMILIAS BARRER TRAPEAR Y PLANCHAR,59829
Trabajando,,,,,No,FUMIGAR CON FUMIGADORA DE ESPALDA CULTIVO DE TOMATE DE ARBOL,59830
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA EN SIEMBRA Y RECOLECCION DE PLATANO,59831
Trabajando,,,,,No,EMPRESA AMBULANTE DE VENTA DE TINTO,59832
Trabajando,,,,,No,RECOLECCION DE TOMATE,59833
Trabajando,,,,,No,PRODUCCION Y ELABORACION DE PRODUCTOS DE PANADERIA  PAN CASERO GALLETERIA PASTELERIA AL POR MENOR POR MOSTRADOR,59834
Trabajando,,,,,Sí,RELIZAR INSTALACIONES Y MANTENIMIENTO DE REDES ELECTRICAS,59835
Trabajando,,,,,No,RECOLECCION DE COSECHAS EN LAS FINCAS,59836
Trabajando,,,,,No,CRIA NO ESPECIALIZADA GANADO,59837
Trabajando,,,,,No,FINCA AGRICOLA PRODUCCION Y COMERCIALIZACION  DE PLATANO Y CAFE PERGAMINO SECO,59838
Trabajando,,,,,No,TRANSPORTE INFORMAL DE PASAJEROS EN VEHICULO MOTO,59839
Trabajando,,,,,Sí,FABRICA Y VENTA DE MUEBLES PARA EL HOGAR,59840
Trabajando,,,,,No,VENTA AL POR MENOR DE MECATO BEBIDAS AZUCARADAS GRANOS ABARROTES PRODUCTOS DE ASEO AL POR MOSTRADOR,59841
Trabajando,,,,,No,VENDER TINTO Y FRITOS COMO AREPAS,59842
Trabajando,,,,,No,COMERCIO DE MATERIAS PRIMAS PARA GANADO,59843
Trabajando,,,,,No,COMPRA VENTA AL POR MAYOR Y AL DE TAL DE BEBIDAS ALCOHOLICAS CERVEZA Y AGUARDIENTE,59844
Trabajando,,,,,No,FINCA AGRICOLA EN CULTIVO  CAFE,59845
Trabajando,,,,,No,PREPARACION Y VENTA DE ALIMENTOS SERVIDOS A LA MESA Y PLATOS A LA CARTA AL POR MENOR,59846
Trabajando,,,,,Sí,CUIDADO DE INFANCIA Y ADOLESCENCIA,59847
Trabajando,,,,,No,COGE NARANJA Y CAFE,59848
Otra actividad ¿cuál?,Sí,,,,No,SERVICIO DE EDUCACION DEPORTIVA,59849
Trabajando,,,,,No,SERVICIO DOMEATICO REALIZANDO SERVICIOS DE ASEO A OTROS HOGARES,59850
Trabajando,,,,,No,MUDANZA TRASTEOS DE CASAS,59851
Trabajando,,,,,Sí,FINANCIAR LAS ACTIVIDADES Y OBRAS DE LA RECONSTRUCCION Y REHABILITACION DE TIERRA DENTRO MUNICIPIO DE INZA,59852
Trabajando,,,,,Sí,CONTRIBUIR AL DESARROLLO AMBIENTAL DEL CAUCA Y FORTALECER LOS PROCESOS DE CUIDADO DE MEDIO AMBIENTE,59853
Trabajando,,,,,No,PRESTAR SERVICIOS DE SALUD NIVEL II CONSULTA EXTERNA Y URGENCIAS A POBLACION AFILIADA AL SGSS,59854
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA CRIA CUIDADO Y VENTA DE GANADERIA,59855
Trabajando,,,,,No,PROCESADORA Y VENTA DE MADERA TABLAS PARA DIVERSOS PRODUCTOS CON DISTINTOS FINES AL POR MENOR,59856
Trabajando,,,,,Sí,VENTA DE CALZADO AL POR MENOR PARA DAMA CABALLEROS Y NINOS,59857
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA EN SIEMBRA Y RECOLECCION DE PLATANO Y MAIZ,59858
Trabajando,,,,,Sí,DIRIGIR LA ACCION ADMINISTRATIVA PRIORIZANDO Y DANDO DIRECTRICES PARA EL DESARROLLO DEL MUNICIPIO,59859
Trabajando,,,,,No,COMERCIALIZACION DE ROPA PARA MUJER AL POR MENOR POR MOSTRADOR,59860
Trabajando,,,,,Sí,TRANSPORTE FORMAL DE PASAJEROS INTERMUNICIPAL TIMBIO POPAYAN,59861
Trabajando,,,,,Sí,BRINDAR SERVICIOS EDUCATIVOS DE PREESCOLAR PRIMARIA Y BACHILLERATO,59862
Trabajando,,,,,No,ENTIDAD GUBERNAMENTAL QUE CONTROLA Y EJERCE LA FINCION DE IMPARTIR JUSTICIA Y ASEGURARSE DE QUE ESTA SEA RESPETADA Y ACATADA,59863
Trabajando,,,,,Sí,ENTIDAD QUE IMPARTE JUSTICIA Y SE ASEGURA DE QUE SE CUMPLAN LAS LEYES,59864
Trabajando,,,,,Sí,COMPRA AL POR MAYOR Y VENTA AL POR MENOR DE MOTOS,59865
Trabajando,,,,,Sí,OFRECER SERVICIOS DE REHABILITACION DE ESTRUCTURAS IMPERMEABILIZACIONES PISOS INDUSTRIALES,59866
Trabajando,,,,,Sí,OFRECER SERVICIOS DE ALQUILER DE SALONES EQUIPOS DE APOYO Y PERSONAL PARA REALIZACION DE LOS DIFERENTES EVENTOS,59867
Trabajando,,,,,Sí,PRESTAR SERVICIOS DE EDUCACION PRESCOLAR BASICA PRIMARIA SECUNDARIA Y MEDIA,59868
Trabajando,,,,,No,VENTA AL POR MENOR DE MECATO TINTO Y EMPANADAS,59869
Trabajando,,,,,No,SIEMBRA Y RECOLECCION DE PAPA Y ARVEJA,59870
Trabajando,,,,,No,FINCA AGRICOLA EN CULTIVO  CAFE Y PLATANO,59871
Trabajando,,,,,No,VENTA AL POR MENOR DE ALIMENTOS  BASICOS NO PERECEDEROS POR MOSTRADOR,59872
Oficios del hogar,Sí,,,,No,PRESTAR SERVICIOS DE ATENCION A LA MESA,59873
Trabajando,,,,,No,CULTIVO NO ESPECIALIZADO DE ARVEJA Y PAPA,59874
Trabajando,,,,,No,CULTIVO ESPECIALIZADO DE ARVEJA Y PAPA,59875
Trabajando,,,,,No,COMERCIALIZACION DE DULCES TIPICOS BREVAS MANJAR BLANCO AL POR MENOR,59876
Trabajando,,,,,No,ENSENANZA DE PRIMARIA Y SECUNDARIA,59877
Trabajando,,,,,No,PRESTAR SERVICIO DE TRANSPORTE NO REGULAR DE PASAJEROS,59878
Trabajando,,,,,No,UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACION ESCOLAR,59879
Trabajando,,,,,No,COMPRA Y VENTA DE VEHICULOS USADOS AL POR MENOR,59880
Trabajando,,,,,No,TALLER Y ALMACEN DE REPUESTOS PARA MOTOS,59881
Trabajando,,,,,No,COMPRA Y VENTA DE PRENDAS DE VESTIR PARA CABALLEROS DAMAS Y NINOS,59882
Trabajando,,,,,No,ORIENTACION Y PLANIFICACION DE CLASES DE AJEDREZ,59883
Trabajando,,,,,No,REALIZA TRANSMISION SEXUAL PARA ADULTOS,59884
Trabajando,,,,,Sí,PROTEGER ASESORAR REPRESENTAR  LOS DERECHOS LEGALES DE LOS CLIENTES,59885
Trabajando,,,,,Sí,PRESTAR SERVICIOS ODONTOLOGICOS DE MANERA INDEPENDIENTE,59886
Trabajando,,,,,No,SERVICIO DE DESHIERBAR Y CERCAR,59887
Trabajando,,,,,No,VENDER LECHE AL POR MENOR,59888
Trabajando,,,,,No,CRIA Y ORDENO DE GANADO LECHERO,59889
Trabajando,,,,,No,ELABORACION Y VENTA DE PRODUCTO DERIVADO DE LA LECHE,59890
Trabajando,,,,,No,FABRICACION DE MUEBLES PARA SALAS COCINAS Y ESPACIOS DE HOGAR AL POR MENOR,59891
Trabajando,,,,,No,CRIA NO ESPECIALIZADA DE GANADO Y CRIA DE AVES DE CORRAL,59892
Trabajando,,,,,No,ELABORACION Y VENTA DE COMIDAS DE CONSUMO INMEDIATO AL POR MENOR,59893
Trabajando,,,,,Sí,ADMINITRAR HOGARES COMUNITARIOS DEL BIENESTAR FAMILIAR,59894
Trabajando,,,,,No,DISTRIBUCION Y TRANSPORTE DE MERCANCIA,59895
Trabajando,,,,,No,TELECOMUNICACIONES INALAMBRICAS INTERNET EN EL DEPARTAMENTO DEL CAUCA,59896
Trabajando,,,,,No,MOLER CANA Y VENTA DE MIEL DE CANA,59897
Trabajando,,,,,No,CRIA ESPECIALIZADA DE ANIMALES,59898
Trabajando,,,,,No,SERVICIO MANO SE OBRA EN TALAR POTREROS,59899
Oficios del hogar,Sí,,,,No,VENTA DE CARNICOS AL POR MENOR POR MOSTRADOR,59900
Trabajando,,,,,No,HOGAR HOGAR,59901
Trabajando,,,,,No,VENTA DE HORCONES PARA CERCA,59902
Trabajando,,,,,No,CRIA NO ESPECIALIZADA DE GANADO,59903
Trabajando,,,,,Sí,VENTA DE CONCENTRADOS,59904
Trabajando,,,,,No,TRANSPORTAR PERSONAS EN SU MOTO INFORMAL AL POR MENOR EN EL CASCO URBANO Y RURAL DEL TIMBIO,59905
Trabajando,,,,,No,PRODUCCION DE ALIMENTOS A BASE DE LACTEOS AL POR MENOR,59906
Trabajando,,,,,No,VENTA Y DISTRIBUCION DE PRODUCTOS DE LA CANASTA FAMILIAR,59907
Oficios del hogar,Sí,,,,No,PRESTAR SERVICIOS DE ASEO A OTROS HOGARES,59908
Trabajando,,,,,No,CRIA NO ESPECIALIZADA DE CERDOS,59909
Trabajando,,,,,Sí,REALIZAR CONSULTORIAS EN POLITICAS PUBLICAS,59910
Trabajando,,,,,No,VENTA DE ALIMENTOS PREPARADOS Y SERVIDOS A LA MESA PESCA DEPORTIVA AL POR MENOR,59911
Trabajando,,,,,No,ALQUILER DE MAQUINARIA AMARILLA PESADA PARA OBRAS EN CONSTRUCCION,59912
Trabajando,,,,,No,VENTA AL POR MENOR DE JUGUETES ARTICULOS PARA EL HOGAR PAPELERIA UTILES ESCOLARES,59913
Trabajando,,,,,No,CONSTRUCCION DE CERCAS EN ALAMBRE,59914
Trabajando,,,,,No,FINCA AGRICOLA PRODUCCION Y COMERCIALIZACION DE CABUYA Y MAIZ,59915
Trabajando,,,,,No,FABRICACION Y VENTA DE AMBULANCIAS LUCES Y SIRENAS,59916
Trabajando,,,,,Sí,MADERAS PROCESADAS PARA  MUBLERIAS,59917
Trabajando,,,,,No,MADERAS PROCESADAS PARA  MUBLERIAS,59918
Trabajando,,,,,No,FINCA AGRICOLA DE YUCA PLANTANO MAIZ Y CAFE,59919
Trabajando,,,,,No,FINCA AGRICOLA EN SIEMBRA Y COMERCIALIZACION EN CULTIVO DE CABUYA Y MAIZ,59920
Trabajando,,,,,No,FINCA AGRICOLA PRODUCCION Y COMERCIALIZACION DE CABUYA MAIZ Y CAFE PERGAMINO SECO,59921
Trabajando,,,,,No,FINCA AGRICOLA DE PRODUCCION Y COMERCIALIZACION DE CULTIVO DE CAFE PLATANO Y MAIZ,59922
Trabajando,,,,,No,FINCA AGRICOLA DE PRODUCCION Y COMERCIALIZACION DE CAFE PLATANO Y MAIZ,59923
Trabajando,,,,,Sí,PROMOCION COMERCIALIZACION Y DESARROLLO DE NEGOCIOS INMOBILIARIO DE CONSTRUCCION Y DE URBANIZACION DE INMUEBLE S,59924
Trabajando,,,,,Sí,SERVICIO EDUCATIVOS,59925
Trabajando,,,,,Sí,DISENO DE PRENDAS Y ACCESORIOS DE MODA,59926
Trabajando,,,,,No,AGRICOLA AGRICOLA DE YUCA CAFE PLATANO CANA MAIZ,59927
Trabajando,,,,,No,FINCA AGRICOLA DE CULTIVO DE CAFE Y FIQUE,59928
Trabajando,,,,,Sí,EDUCACION FORMAL PREESCOLAR BASICA PRIMARIA BASICA SECUNDARIA Y MEDIA VOCACIONAL,59929
Trabajando,,,,,No,FINCA AGRICOLA CULTIVO DE FIQUE,59930
Trabajando,,,,,No,REPARAR Y CONSTRUIR EDIFICACIONES EN CONCRETO,59931
Trabajando,,,,,No,SERVICIOS DE VENTAS AMBULANTE TINTO,59932
Trabajando,,,,,No,SERVICIO EN VENTA DE EMBUELTOS DE ARROZ A DOMICILIO,59933
Trabajando,,,,,No,VEHICULO CHIVA TRANSPORTE RURAL DE PERSONAS Y CARGA INTERMUNICIPAL,59934
Trabajando,,,,,No,VENTA AL POR MENOR DE FRUTAS EN LA PLAZA DE MERCADO TOTORO,59935
Oficios del hogar,Sí,,,,No,FINCA AGRICOLA DE CAFE,59936
Trabajando,,,,,No,FINCA AGRICOLA DE CULTIVO DE CAFE Y BANANO,59937
Trabajando,,,,,No,GUADANERIA VENTA DE LECHE Y JORNAL VARIADO,59938
Trabajando,,,,,No,ENSENANZA Y EDUCACION PRIMARIA,59939
Trabajando,,,,,No,PRODUCCION  Y COMERCIALIZACION  AL POR MENOR EN CULTIVO DE HORTALIZAS,59940
Trabajando,,,,,No,REPRESENTAR LEGALMENTE A LA COMUNIDAD EJERCER LA AUTORIDAD,59941
Trabajando,,,,,No,PRODUCCION  Y COMERCIALIZACION  AL POR MENOR DE CULTIVO DE HORTALIZAS Y CABUYA,59942
Trabajando,,,,,No,REPARA CONSTRUYE Y HACE MANTENIMIENTO DE CASAS,59943
Trabajando,,,,,No,VENTA AL POR MENOR DE VERDURAS Y FRUTAS EN LA PLAZA DE MERCADO,59944
Trabajando,,,,,No,PRODUCCION  Y COMERCIALIZACION AL PORMENOR  DEL FIQUE YA PROCESADO,59945
Trabajando,,,,,No,COMERCIALIZACION DE HORTALIZAS AL POR MENOR Y POR MAYOR EN LA PLAZA DE MERCADO TOTORO,59946
Trabajando,,,,,No,SIEMBRA Y COMERCIALIZACION DE CULTIVOS DE VERDURAS INFORMAL,59947
Trabajando,,,,,No,ADMINISTRACION DE JUSTICIA ESPECIAL Y ASIGNACION DE ORDEN Y VIGILANACIA SOBRE EL RESGUARDO,59948
Trabajando,,,,,No,FINCA TURISTICA,59949
Trabajando,,,,,No,ORDENA VACAS CUIDADO DE ANIMALES,59950
Trabajando,,,,,No,COMERCIALIZACION DE HORTALIZAS AL POR MAYOR Y POR MENOR EN LA PLAZA DE MERCADO,59951
Trabajando,,,,,No,VENTAS DE ALIMENTOS AL POR MENOR,59952
Oficios del hogar,Sí,,,,No,CRIA Y VENTA DE PECES,59953
Oficios del hogar,Sí,,,,No,SIEMBRA DE PALMA AFRICANA,59954
Oficios del hogar,No,No,Sí,,No,VENTA DE PRODUCTOS DE CONSUMO AL POR MENOR,59955
Oficios del hogar,Sí,,,,No,CUIDADOS DE BELLEZA PERSONAL,59956
Oficios del hogar,Sí,,,,No,CULTIVO DE YUCA PLATANO Y CACAO,59957
Trabajando,,,,,No,CANTAR MUSICA LLANERA,59958
Trabajando,,,,,No,REPARA SOLDA Y REALIZA MANTENIMIENTO A MAQUINARIA INDUSTRIAL,59959
Trabajando,,,,,Ya es pensionado,PRODUCTORA DE PLATANO,59960
Trabajando,,,,,No,PRESTA EL SERVICIO DE LIMPIEZA DE MALEZA O MONTE EN DIFERENTES FINCAS,59961
Trabajando,,,,,No,SERVICIO DE MANTENIDO GENERAL PARA MOTOS 2 Y 4 TIEMPOS,59962
Trabajando,,,,,No,CULTIVA Y CUIDA GANADO PARA LA VENTA,59963
Trabajando,,,,,No,BARRANQUISMO REALIZAR FIGURAS EN BARRANCOS,59964
Trabajando,,,,,No,COMPONER CANTAR BAILAR EJECUTAR MUSICA LLANERA,59965
Estudiando,Sí,,,,No,CUIDA PERSONAS ADULTAS,59966
Trabajando,,,,,Sí,FABRICACION DE PRODUCTOS TEXTILES,59967
Trabajando,,,,,No,PRESTA SERVICIO DE LIMPIAR MALEZA O MONTE Y ORDENA VACAS  EN DIFERENTES FINCAS,59968
Trabajando,,,,,Sí,ALCALDIA MUNICIPAL FILANDIA GOBIERNO LOCAL,59969
Trabajando,,,,,Sí,PRESTA EL SERVICIO DE RESTAURACION Y LIMPIEZA DE PARQUES,59970
Trabajando,,,,,Sí,PRESTAR EL SERVICIO DE ATENCION DOMICILIARIA DE PERSONAS CON DISCAPACIDAD Y ADULTOS MAYORES,59971
Trabajando,,,,,Sí,PRESTA EL SERVICIO DE CUIDADO DOMICILIARIO PARA PERSONAS CON DISCAPACIDAD Y ADULTOS MAYORES,59972
Trabajando,,,,,Sí,TRATAMIENTO Y SUMINISTRO DE AGUA POTABLE,59973
Oficios del hogar,Sí,,,,No,PREPARA VENDE PASTELES Y EMPANADAS,59974
Trabajando,,,,,No,VENTA DE PRENDAS DE VESTIR PARA DAMA AL DETAL,59975
Trabajando,,,,,Sí,EXCAVACION ACABADOS Y TERMINACION DE LAS PAREDES MONTAR Y DESMONTAR ESRUCTURAS,59976
Trabajando,,,,,No,PRODUCCION AVICOLA DE GALLINAS PONEDORAS,59977
Trabajando,,,,,No,LA PESCA Y COMERCIALIZACION,59978
Trabajando,,,,,No,PRODUCCION AVICOLA DE GALLINAS PONEDORAS PARA  Y APICULTURA PRODUCCION DE AVEJAS PARA EXTRACCION Y VENTA DE MIEL,59979
Trabajando,,,,,No,PRODUCCION GANADERA PARA LA VENTA,59980
Trabajando,,,,,Sí,CREAR Y CANTAR MUSICA LLANERA,59981
Trabajando,,,,,No,SIEMBRA DE CULTIVOS AGROPECUARIOS,59982
Trabajando,,,,,Ya es pensionado,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVA CACAO LIMPIA PARCELAS SERCAR,59983
Trabajando,,,,,No,ACTIVIDADES GANADERIA Y AGRICULTURA CULTIVOS DE PLATANOS,59984
Trabajando,,,,,No,EL CONTROL Y CUIDADO DE GANADO,59985
Trabajando,,,,,No,PRODUCCION DE GANADO Y VENTA DE LECHE,59986
Trabajando,,,,,No,ACTIVIDADES EN SIEMBRAS AGROPECUARIA,59987
Oficios del hogar,Sí,,,,No,ACTIVIDADES DE LA GANADERIA,59988
Trabajando,,,,,No,COMERCIO DE CARNE DE GANADO BOBINO,59989
Trabajando,,,,,Sí,SERVICIOS DE TRANSPORTE AMBULANCIA PARA PACIENTES,59990
Oficios del hogar,Sí,,,,No,VENTA AL POR MENOR DE PRODUCTOS DE LA CANASTA FAMILIAR,59991
Trabajando,,,,,No,PRESTA SERVICION DE ALIMENTACION PARA CENTROS EDUCATIVOS RURALES,59992
Trabajando,,,,,No,SIEMBRA CULTIVOS DE PASTO PARA LA GANADERIA,59993
Trabajando,,,,,No,HACER CERCADOS GUADANERIA MOTOSIERRA PODAR CESPED,59994
Trabajando,,,,,No,LIMPIEZA ASEO Y FUNCIONES VARIAS DE LA LIMPIEZA DEL HOGAR,59995
Trabajando,,,,,No,GUADANAR POTREROS CULTIVOS Y PARCELAS ARREGLAR CERCAS ORDENAR VACAS,59996
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA GUADANAR,59997
Trabajando,,,,,No,SIEMBRA DE CULTIVOS  AGROPECUARIOS,59998
Trabajando,,,,,No,SERVICIOS DOMESTICOS HOHAR,59999
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA GANADERIA ORDENAR,60000
Trabajando,,,,,No,PRODUCION PISCICOLA DE CRIADEROS DE AGUA DULCE,60001
Trabajando,,,,,No,PRODUCCION Y VENTA DE GANADO,60002
Oficios del hogar,No,Sí,,,No,PRODUCCION DE GALLINAS CRIOLLAS Y VENTA DE HUEVOS CRIOLLOS,60003
Trabajando,,,,,No,PRODUCCION GANADERA Y VENTA DEL MISMO,60004
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVAN CACAO MARACUYA,60005
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVOS DE CACAO MARACUYA,60006
Trabajando,,,,,No,GANADERIA PARA ORDENO,60007
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVOS DE PLATANO CACAO,60008
Trabajando,,,,,No,GUADANAR DE POTREROS Y PARCELAS Y ACTIVIDADES DE APOYO PARA CULTIVOS DE PLATANO Y CACAO,60009
Trabajando,,,,,No,SIEMBRAS DE CULTIVOS DE PLATANOS YUCA CACAOS,60010
Trabajando,,,,,No,SERVICIOS DE MANTENIMIENTO DE POTREROS,60011
Trabajando,,,,,No,PRODUCCION DE GANADO DE ORDENO Y VENTA DE LECHE,60012
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVOS DE CACAO PLATANO,60013
Trabajando,,,,,No,SIEMBRAS DE CULTIVOS DE MAIZ Y OTROS PRODUCTOS DE PAN COJE,60014
Trabajando,,,,,No,GUADANAR LOTES Y PARCELAS ACTIVIDADES DE APOYO A CULTIVOS DE PLATANOS Y CACAO,60015
Trabajando,,,,,No,PRODUCTORA DE BANANO,60016
Oficios del hogar,Sí,,,,No,PRODUCTORA DE BANANO,60017
Oficios del hogar,Sí,,,,No,JORNALES DE GUADANERIA CERCADO DE FINCAS VENTA DE LECHE Y HUEVOS,60018
Trabajando,,,,,No,SERVICIO DE MANTENIMIENTO DE POTREROS,60019
Trabajando,,,,,No,PRODUCCION AGRICOLA DE PLATANO Y GANADERIA,60020
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS DE TRANSPORTE DE CARGA,60021
Trabajando,,,,,No,SERVICIO DE CARGAR BULTOS DE MAIZ CEMENTO Y ABONOS,60022
Trabajando,,,,,No,VENTA AL POR MENOR DE HELADOS JUGOS Y ENSALADA DE FRUTAS,60023
Trabajando,,,,,No,REPARACION VENTA DE REPUESTOS Y MANTENIMIENTO DE MOTOS,60024
Trabajando,,,,,No,VENTA AL POR MENOR DE PRODUCTOS CARNICOS,60025
Trabajando,,,,,No,VENTA AL POR MENOR DE VIVERES DE LA CANASTA FAMILIAR,60026
Trabajando,,,,,No,CULTIVO Y COMERCIALIZACION DE PALMA AFRICANA,60027
Trabajando,,,,,No,PRESTAR SERVICIOS DE ASEO A OTROS HOGARES,60028
Trabajando,,,,,No,FINCA PECUARIA EN PRODUCCION POLLO DE ENGORDE,60029
Trabajando,,,,,Sí,FINCA PECUARIA EN PRODUCCION DE POLLO DE ENGORDE,60030
Trabajando,,,,,Sí,CASAS DE FAMILIA COMO EMPLEADA DOMESTICA,60031
Trabajando,,,,,No,CULTIVAR PALMA AFRICANA,60032
Trabajando,,,,,No,PRESTAR SERVICIOS RELIGIOSOS,60033
Trabajando,,,,,No,PRESTA EL SERVICIO DE ALQUILER DE SILLAS PARA EVENTOS,60034
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVO DE PLATANO,60035
Trabajando,,,,,No,SERVICIO DE GUADANA Y FUMIGACION,60036
Trabajando,,,,,No,VENTA AL POR MAYOR DE PLANTAS,60037
Trabajando,,,,,Sí,VENTA DE HUEVOS,60038
Trabajando,,,,,Sí,VENTA DE HUEVOS DE GALLINAS PONEDORAS,60039
Trabajando,,,,,Ya es pensionado,FINCA AGRICOLA EN PRODUCCION DE CAFE,60040
Trabajando,,,,,No,PRESTAR SERVICIOS DE ASEO A OTRAS VIVIENDAS,60041
Trabajando,,,,,No,VENTA AL POR MENOR DE MAQUILLAJE Y ROPA POR CATALOGOS,60042
Trabajando,,,,,No,SIEMBRA Y CULTIVOS AGROPECUARIOS Y GANADERIA,60043
Trabajando,,,,,No,VENTA AL POR MENOR DE VIVERES CANASTA FAMILIAR ARROZ ACEITE AZUCAR,60044
Trabajando,,,,,No,ACTIVIDADES DE APOYO A LA AGRICULTURA CULTIVA PLATANO YUCA CACAO,60045
Trabajando,,,,,No,GANADERIA BOVINOS,60046
Trabajando,,,,,No,ESTABLECIMIENTO COMERCIAL DE VENTAS AL POR MENOR QUE OFRECE PRODUCTOS PARA LA CANASTA FAMILIAR,60047
